iterations:5450.0 loss:3.12717
iterations:5460.0 loss:3.41674
iterations:5470.0 loss:3.35877
iterations:5480.0 loss:3.48257
iterations:5490.0 loss:3.50612
iterations:5500.0 loss:3.59569
iterations:5510.0 loss:3.40443
iterations:5520.0 loss:3.27795
iterations:5530.0 loss:3.25134
iterations:5540.0 loss:3.74475
iterations:5550.0 loss:3.54987
iterations:5560.0 loss:3.3946
iterations:5570.0 loss:3.75038
iterations:5580.0 loss:2.95862
iterations:5590.0 loss:3.54029
iterations:5600.0 loss:3.47762
iterations:5610.0 loss:3.2158
iterations:5620.0 loss:3.32663
iterations:5630.0 loss:3.55729
iterations:5640.0 loss:3.65318
iterations:5650.0 loss:3.53716
iterations:5660.0 loss:3.50072
iterations:5670.0 loss:3.38841
iterations:5680.0 loss:3.63838
iterations:5690.0 loss:3.26898
iterations:5700.0 loss:3.2741
iterations:5710.0 loss:3.49178
iterations:5720.0 loss:3.51173
iterations:5730.0 loss:3.46055
iterations:5740.0 loss:3.65195
iterations:5750.0 loss:3.47327
iterations:5760.0 loss:3.81516
iterations:5770.0 loss:3.52286
iterations:5780.0 loss:3.06859
iterations:5790.0 loss:3.37607
iterations:5800.0 loss:3.17434
iterations:5810.0 loss:3.79627
iterations:5820.0 loss:3.33935
iterations:5830.0 loss:3.37941
iterations:5840.0 loss:3.38965
iterations:5850.0 loss:3.49323
iterations:5860.0 loss:3.59829
iterations:5870.0 loss:3.43245
iterations:5880.0 loss:3.26605
iterations:5890.0 loss:3.4798
iterations:5900.0 loss:3.3349
iterations:5910.0 loss:3.32715
iterations:5920.0 loss:3.62308
iterations:5930.0 loss:3.20032
iterations:5940.0 loss:3.30989
iterations:5950.0 loss:3.40158
iterations:5960.0 loss:3.09652
iterations:5970.0 loss:3.02384
iterations:5980.0 loss:3.39827
iterations:5990.0 loss:3.25035
iterations:6000.0 loss:3.44938
iterations:6010.0 loss:3.52302
iterations:6020.0 loss:3.49595
iterations:6030.0 loss:3.47699
iterations:6040.0 loss:3.42916
iterations:6050.0 loss:3.23325
iterations:6060.0 loss:3.2948
iterations:6070.0 loss:3.32771
iterations:6080.0 loss:3.43969
iterations:6090.0 loss:3.11186
iterations:6100.0 loss:3.5248
iterations:6110.0 loss:3.28366
iterations:6120.0 loss:3.37695
iterations:6130.0 loss:3.26978
iterations:6140.0 loss:3.39118
iterations:6150.0 loss:3.4714
iterations:6160.0 loss:3.45894
iterations:6170.0 loss:3.71189
iterations:6180.0 loss:3.71538
iterations:6190.0 loss:3.20247
iterations:6200.0 loss:3.53068
iterations:6210.0 loss:3.49958
iterations:6220.0 loss:3.03887
iterations:6230.0 loss:3.42016
iterations:6240.0 loss:3.48436
iterations:6250.0 loss:3.52817
iterations:6260.0 loss:3.4276
iterations:6270.0 loss:3.74155
iterations:6280.0 loss:3.47199
iterations:6290.0 loss:3.36585
iterations:6300.0 loss:3.20645
iterations:6310.0 loss:3.43822
iterations:6320.0 loss:3.18409
iterations:6330.0 loss:3.63703
iterations:6340.0 loss:3.65516
iterations:6350.0 loss:3.59204
iterations:6360.0 loss:3.24176
iterations:6370.0 loss:3.46678
iterations:6380.0 loss:3.30911
iterations:6390.0 loss:3.49828
iterations:6400.0 loss:3.62635
iterations:6410.0 loss:3.60538
iterations:6420.0 loss:3.2701
iterations:6430.0 loss:3.49391
iterations:6440.0 loss:3.41802
iterations:6450.0 loss:3.44932
iterations:6460.0 loss:3.56531
iterations:6470.0 loss:3.45987
iterations:6480.0 loss:3.2483
iterations:6490.0 loss:3.24233
iterations:6500.0 loss:3.52241
iterations:6510.0 loss:3.49063
iterations:6520.0 loss:3.41068
iterations:6530.0 loss:3.53002
iterations:6540.0 loss:3.45337
iterations:6550.0 loss:3.28327
iterations:6560.0 loss:3.34224
iterations:6570.0 loss:3.4576
iterations:6580.0 loss:3.68553
iterations:6590.0 loss:3.08002
iterations:6600.0 loss:3.32541
iterations:6610.0 loss:3.48039
iterations:6620.0 loss:3.3601
iterations:6630.0 loss:3.37493
iterations:6640.0 loss:3.26392
iterations:6650.0 loss:3.40659
iterations:6660.0 loss:3.46021
iterations:6670.0 loss:3.10857
iterations:6680.0 loss:3.2994
iterations:6690.0 loss:3.57278
iterations:6700.0 loss:3.46696
iterations:6710.0 loss:3.13236
iterations:6720.0 loss:3.37399
iterations:6730.0 loss:3.56911
iterations:6740.0 loss:3.45616
iterations:6750.0 loss:3.51622
iterations:6760.0 loss:3.53642
iterations:6770.0 loss:3.6152
iterations:6780.0 loss:3.51911
iterations:6790.0 loss:3.49931
iterations:6800.0 loss:3.28536
iterations:6810.0 loss:3.26841
iterations:6820.0 loss:3.36927
iterations:6830.0 loss:3.36072
iterations:6840.0 loss:3.39077
iterations:6850.0 loss:3.53272
iterations:6860.0 loss:3.49247
iterations:6870.0 loss:3.04156
iterations:6880.0 loss:3.19915
iterations:6890.0 loss:3.29561
iterations:6900.0 loss:3.56703
iterations:6910.0 loss:3.70752
iterations:6920.0 loss:3.44035
iterations:6930.0 loss:3.66155
iterations:6940.0 loss:3.44488
iterations:6950.0 loss:3.03436
iterations:6960.0 loss:3.5867
iterations:6970.0 loss:3.17261
iterations:6980.0 loss:3.29491
iterations:6990.0 loss:3.30223
iterations:7000.0 loss:3.04975
iterations:7010.0 loss:3.36003
iterations:7020.0 loss:3.44498
iterations:7030.0 loss:3.65588
iterations:7040.0 loss:3.4381
iterations:7050.0 loss:3.61764
iterations:7060.0 loss:3.26031
iterations:7070.0 loss:3.21673
iterations:7080.0 loss:3.62757
iterations:7090.0 loss:3.60215
iterations:7100.0 loss:3.31239
iterations:7110.0 loss:3.41693
iterations:7120.0 loss:3.63874
iterations:7130.0 loss:3.08764
iterations:7140.0 loss:3.45963
iterations:7150.0 loss:3.58269
iterations:7160.0 loss:3.20385
iterations:7170.0 loss:3.06471
iterations:7180.0 loss:3.23784
iterations:7190.0 loss:3.36232
iterations:7200.0 loss:3.33737
iterations:7210.0 loss:3.63708
iterations:7220.0 loss:3.52783
iterations:7230.0 loss:3.20749
iterations:7240.0 loss:3.39369
iterations:7250.0 loss:3.51024
iterations:7260.0 loss:3.2725
